ID,Name,Chain,Site URL,Logo URL,Has Supported Portfolio
amphora,Amphora Protocol,eth,https://amphorafinance.com/,https://static.debank.com/image/project/logo_url/amphora/0187734c455aeb451f51512f799454a6.png,TRUE
ampleforth,Ampleforth,eth,https://ampleforth.org,https://static.debank.com/image/project/logo_url/ampleforth/2416017dc481f6f65c1094c9954c761d.png,TRUE
amplifi,AmpliFi,eth,https://perpetualyield.io/,https://static.debank.com/image/project/logo_url/amplifi/48b7dc399dd2043de4aa9222e8e58a54.png,FALSE
amulet,Amulet,eth,https://amulet.org/,https://static.debank.com/image/project/logo_url/amulet/6b50240c4cfac177772415134e6f334b.png,TRUE
anatanft,Anata,eth,https://anatanft.com/,https://static.debank.com/image/project/logo_url/anatanft/c27a0c57e97d3bdee0381395474cbb76.png,FALSE
anchor,Anchor,eth,https://www.anchorprotocol.com,https://static.debank.com/image/project/logo_url/anchor/baa3ff30e1c88f0dc0193c759ae337a7.png,FALSE
ancient8,Ancient8,eth,https://ancient8.gg,https://static.debank.com/image/project/logo_url/a8bridge/2763d0d1e497878c34ec9c973064eb3b.png,TRUE
angelblock,AngelBlock,eth,https://angelblock.io,https://static.debank.com/image/project/logo_url/angelblock/7c216b291e5c3396cc8ed291788ea117.png,TRUE
angle,Angle Protocol,eth,https://app.angle.money,https://static.debank.com/image/project/logo_url/angle/306ffce483295499c5b62e264148d468.png,TRUE
ankr,Ankr,eth,https://www.ankr.com/earn/dashboard,https://static.debank.com/image/project/logo_url/ankr/e858961330e7952b93cf0b9731e341f1.png,TRUE
anonymousedao,Anonymouse DAO,eth,https://www.anonymousedao.com/,https://static.debank.com/image/project/logo_url/anonymousedao/d9de2ed86865b861607e7967512d34ad.png,TRUE
antfarm,Antfarm,eth,https://antfarm.finance/,https://static.debank.com/image/project/logo_url/antfarm/630641957d2934a3995941b760a649dc.png,TRUE
antimatter,AntiMatter,eth,https://dao.antimatter.finance,https://static.debank.com/image/project/logo_url/antimatter/a48477764bfa45a59775ae707f4abe29.png,TRUE
anvil,Anvil,eth,https://anvil.xyz/,https://static.debank.com/image/project/logo_url/anvil/59c90fca4b7091398da2e9c3b00d94ae.png,FALSE
anzen,Anzen,eth,https://rwa.anzen.finance/,https://static.debank.com/image/project/logo_url/anzen/9a5b020d7c2c441c858221961c2a8d6d.png,TRUE
aoarweave,AO,eth,https://ao.arweave.dev,https://static.debank.com/image/project/logo_url/aoarweave/8beb4b94d760de58e332e57f6af97d69.png,TRUE
apecoin,apecoin,eth,https://apecoin.com/,https://static.debank.com/image/project/logo_url/apecoin/3b37b02e924fd417b91752006efa6f3d.png,FALSE
apestake,ApeStake,eth,https://app.apestake.io,https://static.debank.com/image/project/logo_url/apestake/a9b2c27480c629b3c1ba9c605c8b55d3.png,TRUE
apestakingio,ApeCoinStaking.io,eth,https://apecoinstaking.io,https://static.debank.com/image/project/logo_url/apestakingio/92c3e142df37fb6a6f3bee0450170de3.png,TRUE
apeswap,Ape Bond,eth,https://ape.bond/,https://static.debank.com/image/project/logo_url/arb_apeswap/e1066d6a4ce23db2d78dce33828c93ab.png,TRUE
apeterminal,Ape Terminal,eth,https://apeterminal.io/,https://static.debank.com/image/project/logo_url/bsc_apeterminal/cbf0a2a63106dc106de3978a0ab9a4eb.png,TRUE
apex,ApeX,eth,https://www.apex.exchange/,https://static.debank.com/image/project/logo_url/apex/972106bfaf24f7432a943733b8503d50.png,TRUE
api3,API3,eth,https://api3.eth.limo,https://static.debank.com/image/project/logo_url/api3/e280a0423bf67b44659e7ed844c77527.png,TRUE
apifi,Ape Finance,eth,https://ape.fi,https://static.debank.com/image/project/logo_url/apifi/5d3ea0e6b4fe7dbb7a0b0b6be9a625c5.png,TRUE
apollox,APX Finance,eth,https://www.apollox.finance/,https://static.debank.com/image/project/logo_url/arb_apollox/d12751458b34676ed51b79b950296178.png,FALSE
appleswapai,AppleSwap AI,eth,https://appleswap.ai,https://static.debank.com/image/project/logo_url/appleswapai/4dc169b84ab2a1112577b795820f1b61.png,TRUE
aptosbridge,Aptos Bridge,eth,https://theaptosbridge.com/,https://static.debank.com/image/project/logo_url/aptosbridge/2e30e2680ebd86447b1f8734179436dc.png,FALSE
apwine,APWine,eth,https://app.apwine.fi,https://static.debank.com/image/project/logo_url/apwine/46caea5001fd1e5e0cf89c5a36740127.png,TRUE
apy,APY.Finance,eth,https://apy.finance,https://static.debank.com/image/project/logo_url/apy/21b83e4a1dca7e49db7e757977a55f64.png,TRUE
aquapatina,Aqua Patina,eth,https://www.aquapatina.com,https://static.debank.com/image/project/logo_url/aquapatina/8345d5e2be2060b02e834fcee86a571a.png,TRUE
aquastake,Aqua Stake,eth,https://www.aquastake.org/stake/main,https://static.debank.com/image/project/logo_url/aquastake/6ba4188840bd6b3f2c417ac3bdc89338.png,TRUE
aragon,Aragon,eth,https://aragon.org,https://static.debank.com/image/project/logo_url/aragon/28f2a96e3318d844e25f09711caad2c8.png,TRUE
arbius,Arbius,eth,https://arbius.ai/,https://static.debank.com/image/project/logo_url/arbius/7ab276fff713bbc18580ebff7eb49545.png,FALSE
